table_name,field_name,data_type,unit_or_format,meaning,value_rule
household_resettlement_demand.csv,household_id,string,-,虚拟住户调查记录编号,主键
household_resettlement_demand.csv,renewal_area_id,string,-,更新片区编号,关联键
household_resettlement_demand.csv,block_id,string,-,原居住街坊编号,关联键
household_resettlement_demand.csv,survey_wave,string,-,住户调查轮次,W1/W2
household_resettlement_demand.csv,survey_date,date,YYYY-MM-DD,虚拟调查日期,日期
household_resettlement_demand.csv,original_unit_area_m2,float,m2,原住房建筑面积,正数；少量缺失
household_resettlement_demand.csv,registered_persons,integer,人,登记居住人数,正整数
household_resettlement_demand.csv,elderly_persons,integer,人,65岁及以上人数,非负整数
household_resettlement_demand.csv,school_age_children,integer,人,学龄儿童人数,非负整数
household_resettlement_demand.csv,working_persons,integer,人,就业人口数量,非负整数
household_resettlement_demand.csv,household_income_band,string,-,收入分组,低/中低/中等/中高
household_resettlement_demand.csv,tenure_type,string,-,住房权属类型,产权/承租/混合
household_resettlement_demand.csv,preferred_resettlement_mode,string,-,安置方式偏好,原地/就近/货币补偿
household_resettlement_demand.csv,preferred_unit_type,string,-,偏好户型,一居至四居
household_resettlement_demand.csv,minimum_unit_area_m2,float,m2,最低可接受安置面积,正数
household_resettlement_demand.csv,accessibility_need_flag,integer,0/1,无障碍住房需求标记,0或1
household_resettlement_demand.csv,temporary_housing_need,integer,0/1,过渡安置需求标记,0或1
household_resettlement_demand.csv,expected_transition_months,integer,月,可接受过渡期,非负整数
household_resettlement_demand.csv,public_service_access_need,string,-,公共服务优先需求,托幼/医疗/养老/无特别偏好
household_resettlement_demand.csv,commute_sensitivity_score,float,0-1,通勤位置敏感度,越高越敏感
household_resettlement_demand.csv,current_building_age_years,integer,年,原建筑房龄,正整数
household_resettlement_demand.csv,current_condition_score,float,0-100,原住房状况评分,越低表示状况较差
household_resettlement_demand.csv,renewal_acceptance_score,float,0-100,更新接受度教学评分,越高越愿意
household_resettlement_demand.csv,data_quality_flag,string,-,数据质量标记,正常或说明文字
household_resettlement_demand.csv,source_system,string,-,教学来源系统,Survey-Planning
resettlement_scheme_building_plan.csv,plan_record_id,string,-,方案构成记录编号,主键
resettlement_scheme_building_plan.csv,scheme_id,string,-,备选安置方案编号,关联键
