table_name,field_name,field_name_zh,data_type,unit,definition_zh,allowed_values_or_range,nullable,key_role,generation_rule_zh,teaching_role,use_note
site_energy_carbon_daily,project_id,项目标识,string,,虚拟项目唯一标识,PRJ-QM-001,no,controlled_relation_field,固定为启明项目编码,标识字段,不从编码推断数值大小
site_energy_carbon_daily,date,日期,date,date,现场记录所属自然日,2025-03-03至2025-08-29,no,composite_primary_key_member,连续生成180个日期,时间字段,与zone_id共同确定一行
site_energy_carbon_daily,zone_id,作业区标识,category,,现场作业区,A|B|C,no,composite_primary_key_member,固定三个虚构作业区,分组字段,与date共同确定一行
site_energy_carbon_daily,construction_stage,施工阶段,category,,日期所属施工阶段,site_preparation|foundation|structure|enclosure_mep|finishing_commissioning,no,attribute,按连续阶段日期区间赋值,分组字段,全场同一天阶段一致
site_energy_carbon_daily,electricity_kwh,用电量,float,kWh,作业区当日教学用电读数,>0且<=2000,yes,measure,阶段基准叠加设备工时人员温度降雨周周期与噪声,核心数值字段,3行受控缺失；空值不是0
site_energy_carbon_daily,diesel_l,柴油用量,float,L,作业区当日教学柴油读数,>0且<=500,yes,measure,阶段基准叠加设备工时低温周周期与噪声,核心数值字段,3行受控缺失；空值不是0
site_energy_carbon_daily,equipment_hours,设备工时,float,h,作业区当日设备使用总时长,>0且<=60,no,measure,受阶段作业区周周期与降雨影响,关系分析字段,不代表单台设备连续运行时间
site_energy_carbon_daily,active_workers,在场作业人数,integer,person,作业区当日参与作业人数,1..100,no,measure,受阶段作业区周周期与降雨影响并取整,关系分析字段,教学估计人数
site_energy_carbon_daily,temperature_c,日平均温度,float,°C,现场当日日平均教学温度,-10..45,no,measure,季节曲线叠加自相关噪声,气象字段,同一日期三区相同
site_energy_carbon_daily,rainfall_mm,日降雨量,float,mm,现场当日教学降雨量,0..100,no,measure,零膨胀Gamma分布按日生成,气象字段,同一日期三区相同且分布右偏
site_energy_carbon_daily,electricity_factor_kgco2e_kwh,基准电力排放因子,float,kgCO2e/kWh,用于逐行教学核算的基准电力因子,0.55,no,calculation_parameter,取emission_factor_scenarios基准情景,核算参数,虚构教学值不是现行核算参数
site_energy_carbon_daily,diesel_factor_kgco2e_l,基准柴油排放因子,float,kgCO2e/L,用于逐行教学核算的基准柴油因子,2.68,no,calculation_parameter,取emission_factor_scenarios基准情景,核算参数,虚构教学值不是现行核算参数
site_energy_carbon_daily,carbon_kgco2e,教学碳排量,float,kgCO2e,基准情景下当行能源相关教学核算值,>=0,yes,derived_measure,electricity_kwh×电力因子+diesel_l×柴油因子并四舍五入到0.01,核心派生字段,任一能耗缺失时为空；可由同一行复算
site_energy_carbon_daily,data_quality_flag,数据质量标记,category,,当前行能耗读数质量状态,ok|missing_electricity|missing_diesel,no,quality_flag,由受控缺失字段同步设置,质量复核字段,异常高低值不在此字段直接给答案
emission_factor_scenarios,scenario_id,情景标识,category,,排放因子情景编码,low|base|high,no,primary_key,固定三档情景,连接字段,按low-base-high排序
emission_factor_scenarios,scenario_name_zh,情景中文名,string,,供展示的情景名称,低因子情景|基准因子情景|高因子情景,no,attribute,固定教学名称,标签字段,
emission_factor_scenarios,electricity_factor_kgco2e_kwh,情景电力排放因子,float,kgCO2e/kWh,情景敏感性分析所用电力因子,0.45|0.55|0.68,no,scenario_parameter,固定教学虚构值,情景参数,不得写成国家地方或行业现行参数
emission_factor_scenarios,diesel_factor_kgco2e_l,情景柴油排放因子,float,kgCO2e/L,情景敏感性分析所用柴油因子,2.45|2.68|2.90,no,scenario_parameter,固定教学虚构值,情景参数,不得写成国家地方或行业现行参数
emission_factor_scenarios,is_base,基准情景标记,integer,,是否为主表采用的基准情景,0|1,no,attribute,仅base为1,筛选字段,
emission_factor_scenarios,factor_status,因子性质标记,category,,明确因子值的教学性质,fictional_teaching_value,no,provenance_flag,固定值,来源说明字段,防止被误认作正式核算参数
