table_name,field_name,data_type,unit_or_format,meaning,value_rule
public_building_asset_survey.csv,asset_id,string,-,虚拟建筑资产编号,主键
public_building_asset_survey.csv,district_id,string,-,片区编号,关联键
public_building_asset_survey.csv,service_cluster_id,string,-,公共服务组团编号,关联键
public_building_asset_survey.csv,building_type,string,-,公共建筑类型,学校/医疗/办公/文化体育/社区服务
public_building_asset_survey.csv,ownership_category,string,-,资产权属类别,公益性/事业性/混合
public_building_asset_survey.csv,commission_year,integer,年,投用年份,年份
public_building_asset_survey.csv,gross_floor_area_m2,float,m2,建筑面积,正数
public_building_asset_survey.csv,floors,integer,层,建筑层数,正整数
public_building_asset_survey.csv,occupancy_rate,float,0-1,平均使用率,0至1
public_building_asset_survey.csv,annual_energy_kwh,float,kWh/年,年能耗估计,正数
public_building_asset_survey.csv,annual_operational_carbon_tco2e,float,tCO2e/年,年运行碳排估计,正数
public_building_asset_survey.csv,annual_maintenance_cost_million,float,百万元/年,年维护成本估计,非负
public_building_asset_survey.csv,envelope_performance_level,string,-,围护结构性能等级,A至E
public_building_asset_survey.csv,hvac_condition_level,string,-,暖通设备状态等级,A至E
public_building_asset_survey.csv,lighting_condition_level,string,-,照明系统状态等级,A至E
public_building_asset_survey.csv,roof_solar_suitability,string,-,屋顶光伏适宜性,高/中/低
public_building_asset_survey.csv,occupant_density_per_100m2,float,人/100m2,使用密度,非负
public_building_asset_survey.csv,service_criticality_level,string,-,服务连续性要求,高/中/低
public_building_asset_survey.csv,current_comfort_score,float,0-100,当前舒适度教学评分,越高越好
public_building_asset_survey.csv,current_condition_score,float,0-100,当前设施状态评分,越高状态越好
public_building_asset_survey.csv,local_climate_zone,string,-,局部气候分区,C1至C4
public_building_asset_survey.csv,estimated_remaining_life_years,integer,年,关键设备预估剩余寿命,正整数
public_building_asset_survey.csv,survey_completeness_score,float,0-100,调查信息完整度,越高越完整
public_building_asset_survey.csv,data_quality_flag,string,-,数据质量标记,正常或说明文字
public_building_asset_survey.csv,source_system,string,-,教学来源系统,Asset-Survey
retrofit_measure_options.csv,option_id,string,-,改造措施方案编号,主键
retrofit_measure_options.csv,asset_id,string,-,建筑资产编号,关联键
retrofit_measure_options.csv,district_id,string,-,片区编号,关联键
retrofit_measure_options.csv,measure_package,string,-,措施包名称,围护/暖通/照明控制/光伏综合
retrofit_measure_options.csv,measure_scope,string,-,改造范围,局部/系统/综合
retrofit_measure_options.csv,technical_compatibility_level,string,-,技术适配等级,高/中/低
retrofit_measure_options.csv,implementation_window,string,-,适宜施工窗口,寒暑假/夜间/常规
retrofit_measure_options.csv,estimated_investment_million,float,百万元,前期投资估计,正数
retrofit_measure_options.csv,annual_energy_saving_kwh,float,kWh/年,年节能量估计,非负
retrofit_measure_options.csv,annual_carbon_reduction_tco2e,float,tCO2e/年,年减碳量估计,非负
retrofit_measure_options.csv,annual_maintenance_saving_million,float,百万元/年,年维护节约估计,可为负
retrofit_measure_options.csv,service_interruption_days,integer,日,服务受影响天数估计,非负整数
retrofit_measure_options.csv,construction_duration_days,integer,日,施工周期估计,正整数
retrofit_measure_options.csv,expected_service_life_years,integer,年,措施预期寿命,正整数
retrofit_measure_options.csv,simple_payback_years,float,年,静态回收期估计,正数
retrofit_measure_options.csv,marginal_cost_per_tco2e,float,万元/tCO2e,单位减碳投资估计,正数
retrofit_measure_options.csv,comfort_improvement_score,float,0-100,舒适度改善教学评分,越高改善越大
retrofit_measure_options.csv,resilience_improvement_score,float,0-100,韧性改善教学评分,越高改善越大
retrofit_measure_options.csv,implementation_risk_index,float,0-1,实施风险教学指数,越高风险越大
retrofit_measure_options.csv,early_review_flag,integer,0/1,需进一步核对的改造措施标记,0或1
retrofit_measure_options.csv,estimated_embodied_carbon_tco2e,float,tCO2e,改造材料隐含碳估计,非负
retrofit_measure_options.csv,net_carbon_reduction_20y_tco2e,float,tCO2e,20年净减碳教学估计,可为负
retrofit_measure_options.csv,data_quality_flag,string,-,数据质量标记,正常或说明文字
retrofit_measure_options.csv,source_system,string,-,教学来源系统,Retrofit-Estimate
retrofit_portfolio_phasing_estimates.csv,portfolio_record_id,string,-,投资组合分期记录编号,主键
retrofit_portfolio_phasing_estimates.csv,portfolio_id,string,-,备选投资组合编号,关联键
retrofit_portfolio_phasing_estimates.csv,district_id,string,-,片区编号,关联键
retrofit_portfolio_phasing_estimates.csv,phase_year,integer,年,分期年度,2027至2031
retrofit_portfolio_phasing_estimates.csv,funding_scenario,string,-,资金情景,紧约束/基准/宽松
retrofit_portfolio_phasing_estimates.csv,energy_price_scenario,string,-,能源价格情景,低位/基准/上行
retrofit_portfolio_phasing_estimates.csv,service_continuity_scenario,string,-,服务连续性约束,严格/常规
retrofit_portfolio_phasing_estimates.csv,assets_selected_count,integer,栋,年度覆盖建筑数,非负整数
retrofit_portfolio_phasing_estimates.csv,measure_options_selected_count,integer,项,年度纳入措施数,非负整数
retrofit_portfolio_phasing_estimates.csv,annual_investment_million,float,百万元,年度投资估计,非负
retrofit_portfolio_phasing_estimates.csv,cumulative_investment_million,float,百万元,累计投资估计,非负
retrofit_portfolio_phasing_estimates.csv,annual_carbon_reduction_tco2e,float,tCO2e/年,年度减碳量估计,非负
retrofit_portfolio_phasing_estimates.csv,cumulative_carbon_reduction_tco2e,float,tCO2e,累计减碳量估计,非负
retrofit_portfolio_phasing_estimates.csv,annual_energy_saving_mwh,float,MWh/年,年度节能量估计,非负
retrofit_portfolio_phasing_estimates.csv,service_interruption_index,float,0-1,服务受扰教学指数,越高影响越大
